code;id;state;region;province;location;station;dataset;filename;frequency;longitude;latitude;elevation
ASN00003019;;;;;;NAPIER DOWNS;ghcnd;ASN00003019;01d;124.8167;-17.3306;80.0
ASN00003020;;;;;;NERRIMA;ghcnd;ASN00003020;01d;124.3992;-18.5000;95.0
ASN00003021;;;;;;NOONKANBAH;ghcnd;ASN00003021;01d;124.8231;-18.4875;70.0
ASN00003022;;;;;;QUANBUN DOWNS;ghcnd;ASN00003022;01d;125.2267;-18.3817;100.0
ASN00003023;;;;;;ROEBUCK PLAINS;ghcnd;ASN00003023;01d;122.4725;-17.9311;15.0
ASN00003024;;;;;;UDIALLA;ghcnd;ASN00003024;01d;123.7383;-17.9464;20.0
ASN00003025;;;;;;COCKATOO ISLAND;ghcnd;ASN00003025;01d;123.5942;-16.0900;13.0
ASN00003026;;;;;;YEEDA;ghcnd;ASN00003026;01d;123.6483;-17.6153;5.0
ASN00003027;;;;;;FOSSIL DOWNS;ghcnd;ASN00003027;01d;125.7764;-18.1386;120.0
ASN00003028;;;;;;ANNA PLAINS;ghcnd;ASN00003028;01d;121.4861;-19.2536;10.0
ASN00003029;;;;;;FRAZIER DOWNS;ghcnd;ASN00003029;01d;121.7125;-18.7983;9.0
ASN00003030;;;;;;BIDYADANGA;ghcnd;ASN00003030;01d;121.7803;-18.6844;11.0
ASN00003031;;;;;;LOMBADINA MISSION;ghcnd;ASN00003031;01d;122.8908;-16.5167;20.0
ASN00003032;;;;;;DERBY AERO;ghcnd;ASN00003032;01d;123.6611;-17.3706;6.2
ASN00003033;;;;;;BLINA;ghcnd;ASN00003033;01d;124.5283;-17.7472;60.0
ASN00003035;;;;;;MUNJA;ghcnd;ASN00003035;01d;124.9500;-16.4000;-999.9
ASN00003036;;;;;;BROOME QUARANTINE STATION;ghcnd;ASN00003036;01d;122.2167;-18.0000;9.0
ASN00003037;;;;;;MUNKAYARRA;ghcnd;ASN00003037;01d;123.7500;-17.4333;-999.9
ASN00003039;;;;;;SILENT GROVE;ghcnd;ASN00003039;01d;125.3000;-16.9667;-999.9
